Arc Floor One,11/26/2022,03:09 PM,Open,45,11/27/2022,09:11 AM,23,09:49 AM,33,11/27/2022,09:49 AM,33
Climbing,11/22/2022,09:13 PM,Closed,0,11/22/2022,09:13 PM,0,09:13 PM,0,11/22/2022,09:13 PM,0
Arc Olympic Lifting Zones,11/26/2022,03:09 PM,Open,20,11/27/2022,09:11 AM,7,09:11 AM,7,11/27/2022,09:11 AM,7
Arc Floor Two,11/26/2022,03:09 PM,Open,17,11/27/2022,09:11 AM,20,09:49 AM,21,11/27/2022,09:49 AM,21
South Court,11/26/2022,03:09 PM,Open,1,11/27/2022,09:11 AM,0,09:49 AM,0,11/27/2022,09:49 AM,0
Four Court Gym,11/26/2022,03:09 PM,Open,7,11/27/2022,09:11 AM,1,09:49 AM,2,11/27/2022,09:49 AM,2
North Court,11/26/2022,03:09 PM,Open,0,11/27/2022,09:11 AM,0,09:49 AM,0,11/27/2022,09:49 AM,0
Recreation Pool,11/26/2022,03:00 PM,Open,1,11/26/2022,03:00 PM,1,03:00 PM,1,11/27/2022,10:25 AM,4
Competition Pool,11/26/2022,03:00 PM,Open,1,11/26/2022,03:00 PM,1,03:00 PM,1,11/27/2022,10:25 AM,3
Arc Express,11/22/2022,08:49 PM,Open,3,11/22/2022,08:49 PM,3,08:49 PM,3,11/22/2022,08:49 PM,3
Spa,11/26/2022,02:22 PM,Closed,1,11/26/2022,02:22 PM,1,02:22 PM,1,11/26/2022,02:22 PM,1
Aquaplex Pool Deck,11/26/2022,03:00 PM,Open,0,11/26/2022,03:00 PM,0,03:00 PM,0,11/26/2022,03:00 PM,0
Tennis Courts,11/26/2022,03:00 PM,Open,2,11/26/2022,03:00 PM,2,03:00 PM,2,11/26/2022,03:00 PM,2
Arc Floor One,11/27/2022,09:49 AM,33,09:49 AM,33,09:49 AM,33,09:49 AM,04:18 PM,45,11/27/2022,04:18 PM
Climbing,11/22/2022,09:13 PM,0,09:13 PM,0,09:13 PM,0,09:13 PM,09:13 PM,0,11/22/2022,09:13 PM
Arc Olympic Lifting Zones,11/27/2022,09:11 AM,7,09:11 AM,7,09:11 AM,7,09:11 AM,04:18 PM,25,11/27/2022,04:18 PM
Arc Floor Two,11/27/2022,09:49 AM,21,09:49 AM,21,09:49 AM,21,09:49 AM,04:18 PM,32,11/27/2022,04:18 PM
South Court,11/27/2022,09:49 AM,0,09:49 AM,0,09:49 AM,0,09:49 AM,04:18 PM,6,11/27/2022,04:18 PM
Four Court Gym,11/27/2022,09:49 AM,2,09:49 AM,2,09:49 AM,2,09:49 AM,04:18 PM,12,11/27/2022,04:18 PM
