venue,date,time,status,count
Arc Floor One,12/09/2022,07:57 PM,Open,74.0
Climbing,12/09/2022,07:57 PM,Closed,0.0
Arc Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43.0
Arc Floor Two,12/09/2022,07:57 PM,Open,46.0
South Court,12/09/2022,07:57 PM,Open,4.0
Four Court Gym,12/09/2022,07:57 PM,Open,38.0
North Court,12/09/2022,07:57 PM,Open,2.0
Recreation Pool,12/09/2022,07:23 PM,Closed,0.0
Competition Pool,12/09/2022,07:23 PM,Closed,0.0
Arc Express,12/09/2022,09:35 PM,Open,3.0
Spa,12/03/2022,03:19 PM,Closed,0.0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0.0
Tennis Courts,12/09/2022,01:26 PM,Closed,0.0
Arc Floor One,12/09/2022,07:57 PM,Open,74.0
Climbing,12/09/2022,07:57 PM,Closed,0.0
Arc Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43.0
Arc Floor Two,12/09/2022,07:57 PM,Open,46.0
South Court,12/09/2022,07:57 PM,Open,4.0
Four Court Gym,12/09/2022,07:57 PM,Open,38.0
North Court,12/09/2022,07:57 PM,Open,2.0
Recreation Pool,12/09/2022,07:23 PM,Closed,0.0
Competition Pool,12/09/2022,07:23 PM,Closed,0.0
Arc Express,12/09/2022,09:35 PM,Open,3.0
Spa,12/03/2022,03:19 PM,Closed,0.0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0.0
Tennis Courts,12/09/2022,01:26 PM,Closed,0.0
Arc Floor One,12/09/2022,07:57 PM,Open,74.0
Climbing,12/09/2022,07:57 PM,Closed,0.0
Arc Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43.0
Arc Floor Two,12/09/2022,07:57 PM,Open,46.0
South Court,12/09/2022,07:57 PM,Open,4.0
Four Court Gym,12/09/2022,07:57 PM,Open,38.0
North Court,12/09/2022,07:57 PM,Open,2.0
Recreation Pool,12/09/2022,07:23 PM,Closed,0.0
Competition Pool,12/09/2022,07:23 PM,Closed,0.0
Arc Express,12/09/2022,09:35 PM,Open,3.0
Spa,12/03/2022,03:19 PM,Closed,0.0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0.0
Tennis Courts,12/09/2022,01:26 PM,Closed,0.0
Arc Floor One,12/09/2022,07:57 PM,Open,74.0
Climbing,12/09/2022,07:57 PM,Closed,0.0
Arc Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43.0
Arc Floor Two,12/09/2022,07:57 PM,Open,46.0
South Court,12/09/2022,07:57 PM,Open,4.0
Four Court Gym,12/09/2022,07:57 PM,Open,38.0
North Court,12/09/2022,07:57 PM,Open,2.0
Recreation Pool,12/09/2022,07:23 PM,Closed,0.0
Competition Pool,12/09/2022,07:23 PM,Closed,0.0
Arc Express,12/09/2022,09:35 PM,Open,3.0
Spa,12/03/2022,03:19 PM,Closed,0.0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0.0
Tennis Courts,12/09/2022,01:26 PM,Closed,0.0
Arc Floor One,12/09/2022,07:57 PM,Open,74.0
Climbing,12/09/2022,07:57 PM,Closed,0.0
Arc Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43.0
Arc Floor Two,12/09/2022,07:57 PM,Open,46.0
