Entry,0,1,2
ArcFloorOne,11262022,0309,1
Climbing,11222022,0913,0
ArcOlympicLiftingZones,11262022,0309,1
ArcFloorTwo,11262022,0309,1
SouthCourt,11262022,0309,1
FourCourtGym,11262022,0309,1
NorthCourt,11262022,0309,1
RecreationPool,11262022,0300,1
CompetitionPool,11262022,0300,1
ArcExpress,11222022,0849,1
Spa,11262022,0222,0
AquaplexPoolDeck,11262022,0300,1
TennisCourts,11262022,0300,1
Entry,3,0,1
ArcFloorOne,45,11262022,0309
Climbing,0,11222022,0913
ArcOlympicLiftingZones,20,11262022,0309
ArcFloorTwo,17,11262022,0309
SouthCourt,1,11262022,0309
FourCourtGym,7,11262022,0309
NorthCourt,0,11262022,0309
RecreationPool,1,11262022,0300
CompetitionPool,1,11262022,0300
ArcExpress,3,11222022,0849
Spa,1,11262022,0222
AquaplexPoolDeck,0,11262022,0300
TennisCourts,2,11262022,0300
Entry,2,3,0
ArcFloorOne,1,45,11262022
Climbing,0,0,11222022
ArcOlympicLiftingZones,1,20,11262022
ArcFloorTwo,1,17,11262022
SouthCourt,1,1,11262022
FourCourtGym,1,7,11262022
NorthCourt,1,0,11262022
RecreationPool,1,1,11262022
CompetitionPool,1,1,11262022
ArcExpress,1,3,11222022
Spa,0,1,11262022
AquaplexPoolDeck,1,0,11262022
TennisCourts,1,2,11262022
Entry,1,2,3
ArcFloorOne,309,1,45
Climbing,913,0,0
ArcOlympicLiftingZones,309,1,20
ArcFloorTwo,309,1,17
SouthCourt,309,1,1
FourCourtGym,309,1,7
NorthCourt,309,1,0
RecreationPool,300,1,1
CompetitionPool,300,1,1
ArcExpress,849,1,3
Spa,222,0,1
AquaplexPoolDeck,300,1,0
TennisCourts,300,1,2
Entry,0,1,2
ArcFloorOne,11262022,0309,1
Climbing,11222022,0913,0
ArcOlympicLiftingZones,11262022,0309,1
ArcFloorTwo,11262022,0309,1
SouthCourt,11262022,0309,1
FourCourtGym,11262022,0309,1
NorthCourt,11262022,0309,1
RecreationPool,11262022,0300,1
CompetitionPool,11262022,0300,1
ArcExpress,11222022,0849,1
Spa,11262022,0222,0
AquaplexPoolDeck,11262022,0300,1
TennisCourts,11262022,0300,1
Entry,3,0,1
ArcFloorOne,45,11262022,0309
Climbing,0,11222022,0913
ArcOlympicLiftingZones,20,11262022,0309
ArcFloorTwo,17,11262022,0309
SouthCourt,1,11262022,0309
FourCourtGym,7,11262022,0309
NorthCourt,0,11262022,0309
RecreationPool,1,11262022,0300
CompetitionPool,1,11262022,0300
ArcExpress,3,11222022,0849
Spa,1,11262022,0222
AquaplexPoolDeck,0,11262022,0300
TennisCourts,2,11262022,0300
Entry,2,3,0
ArcFloorOne,1,45,11262022
Climbing,0,0,11222022
ArcOlympicLiftingZones,1,20,11262022
ArcFloorTwo,1,17,11262022
SouthCourt,1,1,11262022
FourCourtGym,1,7,11262022
NorthCourt,1,0,11262022
RecreationPool,1,1,11262022
CompetitionPool,1,1,11262022
ArcExpress,1,3,11222022
Spa,0,1,11262022
AquaplexPoolDeck,1,0,11262022
TennisCourts,1,2,11262022
Entry,1,2,3
ArcFloorOne,309,1,45
Climbing,913,0,0
ArcOlympicLiftingZones,309,1,20
ArcFloorTwo,309,1,17
SouthCourt,309,1,1
FourCourtGym,309,1,7
NorthCourt,309,1,0
RecreationPool,300,1,1
CompetitionPool,300,1,1
ArcExpress,849,1,3
Spa,222,0,1
AquaplexPoolDeck,300,1,0
TennisCourts,300,1,2
Entry,0,1,2
ArcFloorOne,11262022,0309,1
Climbing,11222022,0913,0
ArcOlympicLiftingZones,11262022,0309,1
ArcFloorTwo,11262022,0309,1
SouthCourt,11262022,0309,1
FourCourtGym,11262022,0309,1
NorthCourt,11262022,0309,1
RecreationPool,11262022,0300,1
CompetitionPool,11262022,0300,1
ArcExpress,11222022,0849,1
Spa,11262022,0222,0
AquaplexPoolDeck,11262022,0300,1
TennisCourts,11262022,0300,1
Entry,3,0,1
ArcFloorOne,45,11262022,0309
Climbing,0,11222022,0913
ArcOlympicLiftingZones,20,11262022,0309
ArcFloorTwo,17,11262022,0309
SouthCourt,1,11262022,0309
FourCourtGym,7,11262022,0309
NorthCourt,0,11262022,0309
RecreationPool,1,11262022,0300
CompetitionPool,1,11262022,0300
ArcExpress,3,11222022,0849
Spa,1,11262022,0222
AquaplexPoolDeck,0,11262022,0300
TennisCourts,2,11262022,0300
Entry,2,3,0
ArcFloorOne,1,45,11262022
Climbing,0,0,11222022
ArcOlympicLiftingZones,1,20,11262022
ArcFloorTwo,1,17,11262022
SouthCourt,1,1,11262022
FourCourtGym,1,7,11262022
NorthCourt,1,0,11262022
RecreationPool,1,1,11262022
CompetitionPool,1,1,11262022
ArcExpress,1,3,11222022
Spa,0,1,11262022
AquaplexPoolDeck,1,0,11262022
TennisCourts,1,2,11262022
Entry,1,2,3
ArcFloorOne,309,1,45
Climbing,913,0,0
ArcOlympicLiftingZones,309,1,20
ArcFloorTwo,309,1,17
SouthCourt,309,1,1
FourCourtGym,309,1,7
NorthCourt,309,1,0
RecreationPool,300,1,1
CompetitionPool,300,1,1
ArcExpress,849,1,3
Spa,222,0,1
AquaplexPoolDeck,300,1,0
TennisCourts,300,1,2
Entry,0,1,2
ArcFloorOne,11262022,0309,1
Climbing,11222022,0913,0
ArcOlympicLiftingZones,11262022,0309,1
ArcFloorTwo,11262022,0309,1
SouthCourt,11262022,0309,1
FourCourtGym,11262022,0309,1
NorthCourt,11262022,0309,1
RecreationPool,11262022,0300,1
CompetitionPool,11262022,0300,1
ArcExpress,11222022,0849,1
Spa,11262022,0222,0
AquaplexPoolDeck,11262022,0300,1
TennisCourts,11262022,0300,1
Entry,3,0,1
ArcFloorOne,45,11262022,0309
Climbing,0,11222022,0913
ArcOlympicLiftingZones,20,11262022,0309
ArcFloorTwo,17,11262022,0309
SouthCourt,1,11262022,0309
FourCourtGym,7,11262022,0309
NorthCourt,0,11262022,0309
RecreationPool,1,11262022,0300
CompetitionPool,1,11262022,0300
ArcExpress,3,11222022,0849
Spa,1,11262022,0222
AquaplexPoolDeck,0,11262022,0300
TennisCourts,2,11262022,0300
Entry,2,3,0
ArcFloorOne,1,45,11262022
Climbing,0,0,11222022
ArcOlympicLiftingZones,1,20,11262022
ArcFloorTwo,1,17,11262022
SouthCourt,1,1,11262022
FourCourtGym,1,7,11262022
NorthCourt,1,0,11262022
RecreationPool,1,1,11262022
CompetitionPool,1,1,11262022
ArcExpress,1,3,11222022
Spa,0,1,11262022
AquaplexPoolDeck,1,0,11262022
TennisCourts,1,2,11262022
Entry,1,2,3
ArcFloorOne,309,1,45
Climbing,913,0,0
ArcOlympicLiftingZones,309,1,20
ArcFloorTwo,309,1,17
SouthCourt,309,1,1
FourCourtGym,309,1,7
NorthCourt,309,1,0
RecreationPool,300,1,1
CompetitionPool,300,1,1
ArcExpress,849,1,3
Spa,222,0,1
AquaplexPoolDeck,300,1,0
TennisCourts,300,1,2
Entry,0,1,2
ArcFloorOne,11262022,0309,1
Climbing,11222022,0913,0
ArcOlympicLiftingZones,11262022,0309,1
ArcFloorTwo,11262022,0309,1
SouthCourt,11262022,0309,1
FourCourtGym,11262022,0309,1
NorthCourt,11262022,0309,1
RecreationPool,11262022,0300,1
CompetitionPool,11262022,0300,1
ArcExpress,11222022,0849,1
Spa,11262022,0222,0
AquaplexPoolDeck,11262022,0300,1
TennisCourts,11262022,0300,1
Entry,3,0,1
ArcFloorOne,45,11262022,0309
Climbing,0,11222022,0913
ArcOlympicLiftingZones,20,11262022,0309
ArcFloorTwo,17,11262022,0309
SouthCourt,1,11262022,0309
FourCourtGym,7,11262022,0309
NorthCourt,0,11262022,0309
RecreationPool,1,11262022,0300
CompetitionPool,1,11262022,0300
ArcExpress,3,11222022,0849
Spa,1,11262022,0222
AquaplexPoolDeck,0,11262022,0300
TennisCourts,2,11262022,0300
Entry,2,3,0
ArcFloorOne,1,45,11262022
Climbing,0,0,11222022
ArcOlympicLiftingZones,1,20,11262022
ArcFloorTwo,1,17,11262022
SouthCourt,1,1,11262022
FourCourtGym,1,7,11262022
NorthCourt,1,0,11262022
RecreationPool,1,1,11262022
CompetitionPool,1,1,11262022
ArcExpress,1,3,11222022
Spa,0,1,11262022
AquaplexPoolDeck,1,0,11262022
TennisCourts,1,2,11262022
Entry,1,2,3
ArcFloorOne,309,1,45
Climbing,913,0,0
ArcOlympicLiftingZones,309,1,20
ArcFloorTwo,309,1,17
SouthCourt,309,1,1
FourCourtGym,309,1,7
NorthCourt,309,1,0
RecreationPool,300,1,1
CompetitionPool,300,1,1
ArcExpress,849,1,3
Spa,222,0,1
AquaplexPoolDeck,300,1,0
TennisCourts,300,1,2
Entry,0,1,2
ArcFloorOne,11262022,0309,1
Climbing,11222022,0913,0
ArcOlympicLiftingZones,11262022,0309,1
ArcFloorTwo,11262022,0309,1
SouthCourt,11262022,0309,1
FourCourtGym,11262022,0309,1
NorthCourt,11262022,0309,1
RecreationPool,11262022,0300,1
CompetitionPool,11262022,0300,1
ArcExpress,11222022,0849,1
Spa,11262022,0222,0
AquaplexPoolDeck,11262022,0300,1
TennisCourts,11262022,0300,1
Entry,3,0,1
ArcFloorOne,45,11262022,0309
Climbing,0,11222022,0913
ArcOlympicLiftingZones,20,11262022,0309
ArcFloorTwo,17,11262022,0309
SouthCourt,1,11262022,0309
FourCourtGym,7,11262022,0309
NorthCourt,0,11262022,0309
RecreationPool,1,11262022,0300
CompetitionPool,1,11262022,0300
ArcExpress,3,11222022,0849
Spa,1,11262022,0222
AquaplexPoolDeck,0,11262022,0300
TennisCourts,2,11262022,0300
Entry,2,3,0
ArcFloorOne,1,45,11262022
Climbing,0,0,11222022
ArcOlympicLiftingZones,1,20,11262022
ArcFloorTwo,1,17,11262022
SouthCourt,1,1,11262022
FourCourtGym,1,7,11262022
NorthCourt,1,0,11262022
RecreationPool,1,1,11262022
CompetitionPool,1,1,11262022
ArcExpress,1,3,11222022
Spa,0,1,11262022
AquaplexPoolDeck,1,0,11262022
TennisCourts,1,2,11262022
Entry,1,2,3
ArcFloorOne,309,1,45
Climbing,913,0,0
ArcOlympicLiftingZones,309,1,20
ArcFloorTwo,309,1,17
SouthCourt,309,1,1
FourCourtGym,309,1,7
NorthCourt,309,1,0
RecreationPool,300,1,1
CompetitionPool,300,1,1
ArcExpress,849,1,3
Spa,222,0,1
AquaplexPoolDeck,300,1,0
TennisCourts,300,1,2
Entry,0,1,2
ArcFloorOne,11262022,0309,1
Climbing,11222022,0913,0
ArcOlympicLiftingZones,11262022,0309,1
ArcFloorTwo,11262022,0309,1
SouthCourt,11262022,0309,1
FourCourtGym,11262022,0309,1
NorthCourt,11262022,0309,1
RecreationPool,11262022,0300,1
CompetitionPool,11262022,0300,1
ArcExpress,11222022,0849,1
Spa,11262022,0222,0
AquaplexPoolDeck,11262022,0300,1
TennisCourts,11262022,0300,1
Entry,3,0,1
ArcFloorOne,45,11262022,0309
Climbing,0,11222022,0913
ArcOlympicLiftingZones,20,11262022,0309
ArcFloorTwo,17,11262022,0309
SouthCourt,1,11262022,0309
FourCourtGym,7,11262022,0309
NorthCourt,0,11262022,0309
RecreationPool,1,11262022,0300
CompetitionPool,1,11262022,0300
ArcExpress,3,11222022,0849
