ARC Floor 1,12/09/2022,07:57 PM,Open,74
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43
ARC Floor 2,12/09/2022,07:57 PM,Open,46
South Court,12/09/2022,07:57 PM,Open,4
4 Court Gym,12/09/2022,07:57 PM,Open,38
North Court,12/09/2022,07:57 PM,Open,2
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/09/2022,07:57 PM,Open,74
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43
ARC Floor 2,12/09/2022,07:57 PM,Open,46
South Court,12/09/2022,07:57 PM,Open,4
4 Court Gym,12/09/2022,07:57 PM,Open,38
North Court,12/09/2022,07:57 PM,Open,2
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/09/2022,07:57 PM,Open,74
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43
ARC Floor 2,12/09/2022,07:57 PM,Open,46
South Court,12/09/2022,07:57 PM,Open,4
4 Court Gym,12/09/2022,07:57 PM,Open,38
North Court,12/09/2022,07:57 PM,Open,2
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/09/2022,07:57 PM,Open,74
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43
ARC Floor 2,12/09/2022,07:57 PM,Open,46
South Court,12/09/2022,07:57 PM,Open,4
4 Court Gym,12/09/2022,07:57 PM,Open,38
North Court,12/09/2022,07:57 PM,Open,2
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/09/2022,07:57 PM,Open,74
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43
ARC Floor 2,12/09/2022,07:57 PM,Open,46
South Court,12/09/2022,07:57 PM,Open,4
4 Court Gym,12/09/2022,07:57 PM,Open,38
North Court,12/09/2022,07:57 PM,Open,2
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/09/2022,07:57 PM,Open,74
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43
ARC Floor 2,12/09/2022,07:57 PM,Open,46
South Court,12/09/2022,07:57 PM,Open,4
4 Court Gym,12/09/2022,07:57 PM,Open,38
North Court,12/09/2022,07:57 PM,Open,2
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/09/2022,07:57 PM,Open,74
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43
ARC Floor 2,12/09/2022,07:57 PM,Open,46
South Court,12/09/2022,07:57 PM,Open,4
4 Court Gym,12/09/2022,07:57 PM,Open,38
North Court,12/09/2022,07:57 PM,Open,2
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/09/2022,07:57 PM,Open,74
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43
ARC Floor 2,12/09/2022,07:57 PM,Open,46
South Court,12/09/2022,07:57 PM,Open,4
4 Court Gym,12/09/2022,07:57 PM,Open,38
North Court,12/09/2022,07:57 PM,Open,2
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/09/2022,07:57 PM,Open,74
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43
ARC Floor 2,12/09/2022,07:57 PM,Open,46
South Court,12/09/2022,07:57 PM,Open,4
4 Court Gym,12/09/2022,07:57 PM,Open,38
North Court,12/09/2022,07:57 PM,Open,2
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/09/2022,07:57 PM,Open,74
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43
ARC Floor 2,12/09/2022,07:57 PM,Open,46
South Court,12/09/2022,07:57 PM,Open,4
4 Court Gym,12/09/2022,07:57 PM,Open,38
North Court,12/09/2022,07:57 PM,Open,2
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/09/2022,07:57 PM,Open,74
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43
ARC Floor 2,12/09/2022,07:57 PM,Open,46
South Court,12/09/2022,07:57 PM,Open,4
4 Court Gym,12/09/2022,07:57 PM,Open,38
North Court,12/09/2022,07:57 PM,Open,2
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/09/2022,07:57 PM,Open,74
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43
ARC Floor 2,12/09/2022,07:57 PM,Open,46
South Court,12/09/2022,07:57 PM,Open,4
4 Court Gym,12/09/2022,07:57 PM,Open,38
North Court,12/09/2022,07:57 PM,Open,2
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/09/2022,07:57 PM,Open,74
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43
ARC Floor 2,12/09/2022,07:57 PM,Open,46
South Court,12/09/2022,07:57 PM,Open,4
4 Court Gym,12/09/2022,07:57 PM,Open,38
North Court,12/09/2022,07:57 PM,Open,2
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/10/2022,08:06 AM,Open,17
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/10/2022,08:06 AM,Open,0
ARC Floor 2,12/10/2022,08:06 AM,Open,1
South Court,12/10/2022,08:06 AM,Open,0
4 Court Gym,12/10/2022,08:06 AM,Open,0
North Court,12/10/2022,08:06 AM,Open,0
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/10/2022,08:06 AM,Open,17
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/10/2022,08:06 AM,Open,0
ARC Floor 2,12/10/2022,08:06 AM,Open,1
South Court,12/10/2022,08:06 AM,Open,0
4 Court Gym,12/10/2022,08:06 AM,Open,0
North Court,12/10/2022,08:06 AM,Open,0
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/10/2022,08:06 AM,Open,17
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/10/2022,08:06 AM,Open,0
ARC Floor 2,12/10/2022,08:06 AM,Open,1
South Court,12/10/2022,08:06 AM,Open,0
4 Court Gym,12/10/2022,08:06 AM,Open,0
North Court,12/10/2022,08:06 AM,Open,0
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/10/2022,08:06 AM,Open,17
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/10/2022,08:06 AM,Open,0
ARC Floor 2,12/10/2022,08:06 AM,Open,1
South Court,12/10/2022,08:06 AM,Open,0
4 Court Gym,12/10/2022,08:06 AM,Open,0
North Court,12/10/2022,08:06 AM,Open,0
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/10/2022,08:06 AM,Open,17
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/10/2022,08:06 AM,Open,0
ARC Floor 2,12/10/2022,08:06 AM,Open,1
South Court,12/10/2022,08:06 AM,Open,0
4 Court Gym,12/10/2022,08:06 AM,Open,0
North Court,12/10/2022,08:06 AM,Open,0
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/10/2022,08:06 AM,Open,17
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/10/2022,08:06 AM,Open,0
ARC Floor 2,12/10/2022,08:06 AM,Open,1
South Court,12/10/2022,08:06 AM,Open,0
4 Court Gym,12/10/2022,08:06 AM,Open,0
North Court,12/10/2022,08:06 AM,Open,0
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/10/2022,08:06 AM,Open,17
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/10/2022,08:06 AM,Open,0
ARC Floor 2,12/10/2022,08:06 AM,Open,1
South Court,12/10/2022,08:06 AM,Open,0
4 Court Gym,12/10/2022,08:06 AM,Open,0
North Court,12/10/2022,08:06 AM,Open,0
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/10/2022,08:06 AM,Open,17
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/10/2022,08:06 AM,Open,0
ARC Floor 2,12/10/2022,08:06 AM,Open,1
South Court,12/10/2022,08:06 AM,Open,0
4 Court Gym,12/10/2022,08:06 AM,Open,0
North Court,12/10/2022,08:06 AM,Open,0
Recreation Pool,12/09/2022,07:23 PM,Closed,0
Competition Pool,12/09/2022,07:23 PM,Closed,0
ARC Express,12/09/2022,09:35 PM,Open,3
Spa,12/03/2022,03:19 PM,Closed,0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0
Tennis Courts,12/09/2022,01:26 PM,Closed,0
ARC Floor 1,12/10/2022,08:06 AM,Open,17
Climbing,12/09/2022,07:57 PM,Closed,0
ARC Olympic Lifting Zones,12/10/2022,08:06 AM,Open,0
ARC Floor 2,12/10/2022,08:06 AM,Open,1
South Court,12/10/2022,08:06 AM,Open,0
4 Court Gym,12/10/2022,08:06 AM,Open,0
