time,venue,count
10.0,North Court,0.0
7.0,South Court,0.0
7.0,North Court,0.0
10.0,Climbing,0.0
8.0,North Court,0.0
8.0,South Court,0.0
6.0,South Court,0.0
6.0,North Court,0.0
6.0,Four Court Gym,0.0
6.0,Climbing,0.0
12.0,North Court,0.0
11.0,North Court,0.0
9.0,North Court,0.0
5.0,South Court,0.0
5.0,North Court,0.0
5.0,Four Court Gym,0.0
10.0,Spa,0.0
20.0,Recreation Pool,0.0
0.0,North Court,0.0
13.0,North Court,0.0
22.0,Climbing,0.0
9.0,South Court,0.0
10.0,South Court,1.0
18.0,Recreation Pool,1.0
13.0,South Court,1.0
17.0,North Court,1.0
11.0,Recreation Pool,1.0
14.0,North Court,1.0
16.0,Aquaplex Pool Deck,1.0
12.0,Spa,1.0
20.0,Aquaplex Pool Deck,1.0
11.0,South Court,1.0
7.0,Four Court Gym,1.0
15.0,North Court,1.0
16.0,North Court,2.0
16.0,Recreation Pool,2.0
17.0,Aquaplex Pool Deck,2.0
15.0,Recreation Pool,2.0
15.0,South Court,2.0
12.0,South Court,2.0
16.0,Competition Pool,2.0
15.0,Aquaplex Pool Deck,2.0
14.0,Aquaplex Pool Deck,2.0
10.0,Recreation Pool,2.0
13.0,Recreation Pool,2.0
11.0,Aquaplex Pool Deck,2.0
13.0,Tennis Courts,2.0
8.0,Four Court Gym,2.0
20.0,Competition Pool,2.0
18.0,Aquaplex Pool Deck,2.0
0.0,South Court,2.0
19.0,Recreation Pool,2.0
10.0,Aquaplex Pool Deck,2.0
20.0,North Court,3.0
17.0,Recreation Pool,3.0
14.0,South Court,3.0
12.0,Recreation Pool,3.0
13.0,Aquaplex Pool Deck,3.0
14.0,Recreation Pool,3.0
19.0,Aquaplex Pool Deck,3.0
18.0,Competition Pool,4.0
18.0,North Court,4.0
11.0,Competition Pool,4.0
18.0,South Court,4.0
12.0,Aquaplex Pool Deck,4.0
23.0,North Court,4.0
19.0,North Court,4.0
5.0,Arc Floor Two,5.0
15.0,Competition Pool,5.0
18.0,Tennis Courts,5.0
16.0,South Court,5.0
8.0,Arc Express,5.0
21.0,Climbing,6.0
10.0,Competition Pool,6.0
17.0,South Court,6.0
12.0,Competition Pool,6.0
17.0,Competition Pool,6.0
15.0,Tennis Courts,6.0
9.0,Four Court Gym,6.0
17.0,Tennis Courts,6.0
22.0,North Court,7.0
19.0,South Court,7.0
19.0,Competition Pool,7.0
23.0,South Court,7.0
13.0,Four Court Gym,8.0
20.0,South Court,8.0
22.0,South Court,8.0
0.0,Four Court Gym,8.0
11.0,Four Court Gym,8.0
21.0,North Court,8.0
12.0,Four Court Gym,9.0
13.0,Competition Pool,9.0
21.0,Arc Express,10.0
14.0,Competition Pool,10.0
9.0,Arc Express,10.0
21.0,South Court,11.0
10.0,Four Court Gym,11.0
14.0,Climbing,11.0
18.0,Climbing,11.0
