venue,date,time,status,count
ARC Floor 1,12/09/2022,07:57 PM,Open,74.0
Climbing,12/09/2022,07:57 PM,Closed,0.0
ARC Olympic Lifting Zones,12/09/2022,07:57 PM,Open,43.0
ARC Floor 2,12/09/2022,07:57 PM,Open,46.0
South Court,12/09/2022,07:57 PM,Open,4.0
4 Court Gym,12/09/2022,07:57 PM,Open,38.0
North Court,12/09/2022,07:57 PM,Open,2.0
Recreation Pool,12/09/2022,07:23 PM,Closed,0.0
Competition Pool,12/09/2022,07:23 PM,Closed,0.0
ARC Express,12/09/2022,09:35 PM,Open,3.0
Spa,12/03/2022,03:19 PM,Closed,0.0
Aquaplex Pool Deck,12/09/2022,07:23 PM,Closed,0.0
Tennis Courts,12/09/2022,01:26 PM,Closed,0.0
ARC Floor 1,12/10/2022,08:06 AM,Open,17.0
ARC Olympic Lifting Zones,12/10/2022,08:06 AM,Open,0.0
ARC Floor 2,12/10/2022,08:06 AM,Open,1.0
South Court,12/10/2022,08:06 AM,Open,0.0
4 Court Gym,12/10/2022,08:06 AM,Open,0.0
North Court,12/10/2022,08:06 AM,Open,0.0
Recreation Pool,12/10/2022,10:12 AM,Open,3.0
Competition Pool,12/10/2022,10:12 AM,Open,3.0
Aquaplex Pool Deck,12/10/2022,10:12 AM,Open,0.0
ARC Floor 1,12/10/2022,10:17 AM,Open,47.0
ARC Olympic Lifting Zones,12/10/2022,10:17 AM,Open,23.0
ARC Floor 2,12/10/2022,10:17 AM,Open,19.0
South Court,12/10/2022,10:17 AM,Open,2.0
4 Court Gym,12/10/2022,10:17 AM,Open,6.0
North Court,12/10/2022,10:17 AM,Open,0.0
Recreation Pool,12/10/2022,11:00 AM,Open,3.0
Competition Pool,12/10/2022,11:00 AM,Open,2.0
ARC Express,12/10/2022,11:01 AM,Open,9.0
Aquaplex Pool Deck,12/10/2022,11:00 AM,Open,3.0
ARC Express,12/10/2022,12:01 PM,Open,11.0
Recreation Pool,12/10/2022,12:07 PM,Open,4.0
